latitude,longitude,start_time,stop_time,all_day,city_name,region_name,postal_code
40.7556006,-73.9915712,2016-01-01 20:30:00,2016-01-01 23:00:00,0,New York,New York,10018
40.7142,-74.0064,2016-01-01 00:00:00,None,1,New York,New York,None
40.7142,-74.0064,2016-01-01 00:00:00,None,1,New York,New York,None
40.7783011,-73.9818248,2016-01-01 20:00:00,2016-01-02 03:00:00,0,New York,New York,None
40.7273972,-74.0012814,2016-01-01 10:00:00,2016-01-01 18:00:00,0,New York,New York,None
40.756474,-73.9924766,2016-01-01 22:00:00,2016-01-02 04:00:00,0,New York,New York,10018
40.7656668,-73.9803996,2016-01-01 00:00:00,None,1,New York,New York,10019
40.5722,-74.4134,2016-01-01 09:00:00,2016-01-01 10:00:00,0,South Plainfield,New Jersey,07080
40.7745779,-73.9651814,2016-01-01 00:00:00,2022-04-16 02:00:00,1,New York,New York,None
40.759,-73.968,2016-01-01 00:00:00,2016-12-31 00:00:00,2,New York,New York,10022
40.7632328,-73.9844951,2015-10-08 00:00:00,2016-07-03 00:00:00,2,New York,New York,10019
40.7308580,-73.9870210,2016-01-01 09:00:00,None,0,New York,New York,10003
40.9500812,-73.828522,2016-01-01 10:00:00,2016-01-01 13:00:00,0,New Rochelle,New York,10801
40.4996684,-74.4457431,2016-01-01 00:00:00,None,0,New Brunswick,New Jersey,08901
40.4996684,-74.4457431,2016-01-01 00:00:00,None,0,New Brunswick,New Jersey,08901
40.8644916,-73.8946458,2016-01-01 14:30:00,None,0,Bronx,New York,10468
40.7495210,-74.0083037,2016-01-01 10:00:00,2016-01-01 17:00:00,0,New York,New York,10036
41.0291,-73.7581,2015-12-31 00:00:00,2016-08-29 00:00:00,2,White Plains,New York,10601
40.7133,-73.7675,2016-01-01 00:00:00,2016-12-31 00:00:00,2,Hollis,New York,None
40.7133,-73.7675,2016-01-01 00:00:00,2016-12-31 00:00:00,2,Hollis,New York,None
40.7924950,-73.9519050,2016-01-01 12:00:00,None,0,New York,New York,10029
40.7182,-73.9847,2016-01-01 03:00:00,None,0,New York,New York,10002
40.7208412,-74.0050159,2016-01-01 20:00:00,None,0,New York,New York,10013
40.7090990,-74.0081571,2016-01-01 02:00:00,None,0,New York,New York,10038
40.7792134,-73.9634699,2016-01-01 00:00:00,None,2,New York,New York,10028
40.7182,-73.9847,2016-01-01 11:00:00,None,0,New York,New York,10002
40.6308,-74.5122,2015-10-08 00:00:00,2016-06-24 00:00:00,2,Warren,New Jersey,07059
40.6786550,-74.2281310,2015-10-16 00:00:00,2016-07-31 00:00:00,2,Union,New Jersey,None
40.6802924,-74.411476,2016-01-01 00:00:00,2016-06-19 00:00:00,2,Berkeley Heights,New Jersey,None
40.7642961,-73.9831382,2016-01-02 19:00:00,2016-01-02 22:00:00,0,New York,New York,NY
40.7556006,-73.9915712,2016-01-02 20:30:00,2016-01-02 23:00:00,0,New York,New York,10018
40.7142,-74.0064,2016-01-02 00:00:00,None,1,New York,New York,None
40.7142,-74.0064,2016-01-02 00:00:00,None,1,New York,New York,None
40.7415261,-74.0285207,2016-01-02 10:00:00,2016-01-02 11:00:00,0,Hoboken,New Jersey,07030
40.7783011,-73.9818248,2016-01-02 20:00:00,2016-01-03 03:00:00,0,New York,New York,None
40.7273972,-74.0012814,2016-01-02 10:00:00,2016-01-02 18:00:00,0,New York,New York,None
40.6891099,-73.9582296,2016-01-02 15:00:00,2016-01-02 17:00:00,0,New York,New York,None
40.7588165,-73.9747034,2016-01-02 12:00:00,2016-01-02 14:00:00,0,New York,New York,10003
40.6942,-73.9906,2016-01-02 12:00:00,2016-01-02 14:00:00,0,Brooklyn,New York,11201
40.876,-73.8715,2016-01-02 17:00:00,2016-01-02 20:00:00,0,Bronx,New York,10467
40.7392309,-73.8846130,2016-01-02 22:00:00,2016-01-03 04:30:00,0,Elmhurst,New York,None
40.7656668,-73.9803996,2016-01-02 00:00:00,None,1,New York,New York,10019
40.5722,-74.4134,2016-01-02 09:00:00,2016-01-02 10:00:00,0,South Plainfield,New Jersey,07080
40.7745779,-73.9651814,2016-01-02 00:00:00,2022-04-17 02:00:00,1,New York,New York,None
40.759,-73.968,2016-01-01 00:00:00,2016-12-31 00:00:00,2,New York,New York,10022
40.7632328,-73.9844951,2015-10-08 00:00:00,2016-07-03 00:00:00,2,New York,New York,10019
40.5527270,-74.1667475,2016-01-02 09:00:00,2016-01-02 15:30:00,0,Staten Island,New York,10312
40.7308580,-73.9870210,2016-01-02 09:00:00,None,0,New York,New York,10003
40.4996684,-74.4457431,2016-01-02 00:00:00,None,0,New Brunswick,New Jersey,08901
40.4996684,-74.4457431,2016-01-02 00:00:00,None,0,New Brunswick,New Jersey,08901
40.8644916,-73.8946458,2016-01-02 14:00:00,None,0,Bronx,New York,10468
40.8644916,-73.8946458,2016-01-02 14:00:00,None,0,Bronx,New York,10468
40.7495210,-74.0083037,2016-01-02 10:00:00,2016-01-02 17:00:00,0,New York,New York,10036
41.0291,-73.7581,2015-12-31 00:00:00,2016-08-29 00:00:00,2,White Plains,New York,10601
40.7133,-73.7675,2016-01-01 00:00:00,2016-12-31 00:00:00,2,Hollis,New York,None
40.7133,-73.7675,2016-01-01 00:00:00,2016-12-31 00:00:00,2,Hollis,New York,None
40.7924950,-73.9519050,2016-01-02 12:00:00,None,0,New York,New York,10029
40.7182,-73.9847,2016-01-02 03:00:00,None,0,New York,New York,10002
40.7208412,-74.0050159,2016-01-02 20:00:00,None,0,New York,New York,10013
40.7090990,-74.0081571,2016-01-02 02:00:00,None,0,New York,New York,10038
40.8644916,-73.8946458,2016-01-02 12:00:00,None,0,Bronx,New York,10468
40.8644916,-73.8946458,2016-01-02 10:00:00,None,0,Bronx,New York,10468
40.7792134,-73.9634699,2016-01-02 00:00:00,None,2,New York,New York,10028
40.7182,-73.9847,2016-01-02 11:00:00,None,0,New York,New York,10002
40.6308,-74.5122,2015-10-08 00:00:00,2016-06-24 00:00:00,2,Warren,New Jersey,07059
40.6786550,-74.2281310,2015-10-16 00:00:00,2016-07-31 00:00:00,2,Union,New Jersey,None
